Catchment ID,River,Receiving Sea,Continent,Catchment Area [km²], MMPW Generation per capita [kg d-1],Population,MMPW generated in the catchment [tons y-1],Microplastic load Model 1 [tons y-1] ,Microplastic load Model 2 [tons y-1] ,Macroplastic load  [tons y-1] 
477,Selangor,Mallaca Strait,Asia,1897,0.112,483418,19785,11,3,5
1414,Doce,Atlantic,South America,82689,0.017,3129998,19753,11,3,5
1106,Hellah,Persian Gulf,Eurasia,10670,0.074,721874,19626,11,3,5
1302,Catatumbo,Caribbean,South America,27438,0.03,1788917,19551,11,3,5
667,Cess,Atlantic,Africa,12730,0.076,700915,19549,11,3,5
786,Groot Berg,Atlantic,Africa,7794,0.134,396075,19345,11,3,5
495,Landek,Karimata Strait,Oceania,9076,0.047,1119624,19237,11,3,5
672,Boubo,Gulf of Guinea,Africa,7985,0.086,614187,19179,11,3,5
902,Rhone,Mediterranean,Europe,95296,0.005,10331052,19087,11,2,5
683,Nyong,Gulf of Guinea,Africa,27764,0.038,1366866,19067,11,2,5
778,Umzimkulu,Indian,Africa,6727,0.134,389825,19007,11,2,5
726,Ikopa,Indian,Africa,55998,0.013,3885333,18992,10,2,5
389,Changhuajiang,South China Sea,Asia,5027,0.092,564709,18945,10,2,5
528,Cenrana,Java Sea,Oceania,7348,0.047,1099255,18887,10,2,5
39,Yaque del Norte,Atlantic,North America,7068,0.039,1306183,18758,10,2,5
710,Cuvo,Atlantic,Africa,22818,0.045,1132827,18689,10,2,5
655,Sewa,Atlantic,Africa,18462,0.035,1469558,18531,10,2,5
83,Patuca,Caribbean,North America,23428,0.079,642381,18472,10,2,5
1229,Delaware,Atlantic,North America,28621,0.007,7542974,18397,10,2,5
677,St. Pedro,Gulf of Guinea,Africa,3370,0.086,588436,18375,10,2,5
489,Rokan,Mallaca Strait,Oceania,19143,0.047,1059864,18210,10,2,5
795,Breede,Indian,Africa,12507,0.134,366329,17892,9,2,5
1107,Zohreh,Persian Gulf,Eurasia,14475,0.074,647537,17605,9,2,5
104,Grande de Matagalpa,Caribbean,North America,18376,0.066,716920,17377,9,2,5
615,Mazafran,Mediterranean,Africa,2039,0.086,544767,17128,9,2,4
404,Tra-Khuc,Pacific,Asia,3514,0.09,520732,17096,9,2,4
865,Po,Mediterranean,Europe,72469,0.003,16401744,17076,9,2,4
