Catchment ID,River,Receiving Sea,Continent,Catchment Area [km²], MMPW Generation per capita [kg d-1],Population,MMPW generated in the catchment [tons y-1],Microplastic load Model 1 [tons y-1] ,Microplastic load Model 2 [tons y-1] ,Macroplastic load  [tons y-1] 
1388,Pojuca,Atlantic,South America,4781,0.017,606307,3826,1,0,1
732,Licungo,Indian,Africa,22996,0.013,793783,3818,1,0,1
533,Pulau,Arafura Sea,Oceania,27834,0.047,220163,3783,1,0,1
1376,Una,Atlantic,South America,6708,0.017,593853,3748,1,0,1
438,Pamba,Arabian Sea,Asia,1314,0.009,1156839,3701,1,0,1
1370,Jequetepeque,Pacific,South America,3987,0.039,261930,3700,1,0,1
1104,Mehran,Persian Gulf,Eurasia,8106,0.074,135418,3682,1,0,1
1353,Acaraú,Atlantic,South America,14515,0.017,582149,3674,1,0,1
51,Blanco,Gulf of Mexico,North America,5734,0.012,816907,3655,1,0,1
1374,Ipojuca,Atlantic,South America,3454,0.017,578259,3649,1,0,1
48,Jamapa,Gulf of Mexico,North America,3891,0.012,814243,3644,1,0,1
657,Mano,Atlantic,Africa,7634,0.056,176723,3609,1,0,0
822,Melet,Black Sea,Eurasia,2009,0.039,250303,3573,1,0,0
806,Tarsus,Mediterranean,Eurasia,2006,0.039,246934,3525,1,0,0
764,Umbeluzi,Indian,Africa,5492,0.015,633353,3521,1,0,0
512,Waringin,Java Sea,Oceania,13648,0.047,204859,3520,1,0,0
791,Gamtoos,Indian,Africa,34786,0.134,71708,3502,1,0,0
418,Netravati,Arabian Sea,Asia,3473,0.009,1087660,3480,1,0,0
896,Tevere,Mediterranean,Europe,16663,0.003,3553374,3442,1,0,0
909,Llobregat,Mediterranean,Europe,5005,0.006,1709022,3441,1,0,0
478,Kidurong,South China Sea,Asia,5792,0.112,83890,3433,1,0,0
789,Sondags,Indian,Africa,21312,0.134,70242,3431,1,0,0
41,Actopán,Gulf of Mexico,North America,1975,0.012,765200,3424,1,0,0
1364,Apodi,Atlantic,South America,14258,0.017,541862,3420,1,0,0
809,Köprü,Mediterranean,Eurasia,2574,0.039,234341,3345,1,0,0
33,Ameca,Pacific,North America,12281,0.012,745695,3337,1,0,0
1111,Wadi Hajir,Arabian Sea,Eurasia,9186,0.077,118944,3327,1,0,0
442,Tagoloan,Pacific,Oceania,1360,0.062,146121,3298,0,0,0
1300,Motatan,Caribbean,South America,4956,0.017,514977,3274,0,0,0
1094,Bhari,Arabian Sea,Asia,4403,0.09,99248,3270,0,0,0
1112,Wadi Maifa'ah,Arabian Sea,Eurasia,5208,0.077,116296,3253,0,0,0
116,Grande de Terraba,Pacific,North America,4994,0.046,191948,3250,0,0,0
1245,Pamlico,Atlantic,North America,11712,0.007,1328327,3240,0,0,0
829,Inguri,Black Sea,Eurasia,4051,0.035,250412,3208,0,0,0
163,Sinngatoka,Pacific,Oceania,1493,0.151,58360,3208,0,0,0
1121,Wadi Baysh,Red Sea,Eurasia,6239,0.021,421168,3172,0,0,0
798,Lachish,Mediterranean,Eurasia,782,0.008,1140783,3127,0,0,0
687,Mbini,Atlantic,Africa,13499,0.045,190343,3114,0,0,0
1437,Bio Bio,Pacific,South America,24265,0.011,803364,3110,0,0,0
1227,Passaic,Atlantic,North America,2840,0.007,1262135,3078,0,0,0
444,Kallada,Arabian Sea,Asia,1501,0.009,960562,3073,0,0,0
1431,Rapel,Pacific,South America,13783,0.011,792970,3071,0,0,0
1428,Aconcagua,Pacific,South America,7318,0.011,784198,3043,0,0,0
1265,Savannah,Atlantic,North America,27165,0.007,1243818,3034,0,0,0
1120,Wadi Jizan,Red Sea,Eurasia,1765,0.048,172904,3020,0,0,0
723,Sofia/Mahajamba,Indian,Africa,28434,0.013,615001,3006,0,0,0
472,Baram,South China Sea,Asia,22273,0.109,75497,2999,0,0,0
1288,Rancheria,Caribbean,South America,4330,0.033,241572,2952,0,0,0
1360,Tumbes,Pacific,South America,5371,0.044,183816,2937,0,0,0
1101,Jagin,Gulf of Oman,Eurasia,6457,0.074,107660,2927,0,0,0
1298,Unare,Caribbean,South America,22226,0.017,459356,2921,0,0,0
81,Sarstoon,Caribbean,North America,2170,0.104,76979,2920,0,0,0
1022,Pechora,Barents Sea,Asia,313825,0.02,388355,2901,0,0,0
920,Guadiana,Atlantic,Europe,66372,0.005,1448300,2899,0,0,0
1339,Chone,Pacific,South America,2355,0.047,168500,2880,0,0,0
1328,Dagua,Pacific,South America,1453,0.034,234136,2878,0,0,0
645,Kogon,Atlantic,Africa,8083,0.026,302656,2864,0,0,0
646,Dharror,Indian,Africa,28504,0.047,168018,2857,0,0,0
1434,Maule,Pacific,South America,21108,0.011,731363,2832,0,0,0
319,Kiso,Pacific,Asia,9024,0.003,2277379,2829,0,0,0
854,Vijose,Mediterranean,Europe,6777,0.031,246454,2775,0,0,0
1102,Dozdan,Straight of Hormuz,Eurasia,3015,0.074,101999,2773,0,0,0
28,San Pedro,Pacific,North America,25676,0.012,617738,2764,0,0,0
1098,Rapch,Gulf of Oman,Eurasia,8503,0.074,101199,2751,0,0,0
55,Hondo,Atlantic,North America,12699,0.049,154897,2746,0,0,0
734,Luala,Indian,Africa,19043,0.013,566345,2723,0,0,0
1066,Ouse,North Sea,Europe,8198,0.004,1733227,2706,0,0,0
841,Néstos,Mediterranean,Europe,5841,0.042,176494,2680,0,0,0
71,Belize,Caribbean,North America,8493,0.069,105244,2669,0,0,0
957,Venta,Baltic Sea,Europe,11867,0.021,351410,2660,0,0,0
908,Besos,Mediterranean,Europe,1033,0.006,1317801,2654,0,0,0
1396,Ica,Pacific,South America,6838,0.039,187510,2649,0,0,0
721,Monapo,Indian,Africa,8058,0.013,548883,2639,0,0,0
635,Saguia al Hamra,Atlantic,Africa,69388,0.049,146432,2624,0,0,0
59,Loiza,Atlantic,North America,773,0.011,671923,2611,0,0,0
391,Abulug,Pacific,Oceania,2892,0.062,114191,2578,0,0,0
1244,Roanoke,Atlantic,North America,24479,0.007,1050882,2563,0,0,0
913,Segura,Mediterranean,Europe,16542,0.006,1265690,2549,0,0,0
1077,Liffey,Irish Sea,Europe,1327,0.009,811939,2536,0,0,0
302,Shinano,Sea of Japan,Asia,10582,0.003,2019153,2508,0,0,0
467,Segama,Celebes Sea,Asia,4023,0.112,60980,2496,0,0,0
504,Pawan,Karimata Strait,Oceania,11075,0.047,144143,2477,0,0,0
758,Onilahy,Indian,Africa,32304,0.013,505332,2470,0,0,0
647,Fatala,Atlantic,Africa,6133,0.025,264424,2452,0,0,0
1046,Clyde,North Sea,Europe,2983,0.004,1567246,2447,0,0,0
727,Meluli,Indian,Africa,10212,0.013,503937,2423,0,0,0
1239,James,Chesapeake Bay,North America,18254,0.007,988082,2410,0,0,0
1287,Caloosahatchee,Gulf of Mexico,North America,17028,0.007,980413,2391,0,0,0
8,Yaqui,Gulf of California,North America,72879,0.012,544680,2378,0,0,0
1383,Vasa Barris,Atlantic,South America,16149,0.017,375807,2372,0,0,0
1294,Yaracuy,Caribbean,South America,2471,0.017,371953,2365,0,0,0
491,Lupar,South China Sea,Asia,4132,0.111,57259,2324,0,0,0
1299,Guanipa,Atlantic,South America,10277,0.017,365003,2321,0,0,0
1371,Chicama,Pacific,South America,4481,0.039,163916,2315,0,0,0
32,Cazones,Gulf of Mexico,North America,2799,0.012,517161,2314,0,0,0
423,Valapattanam,Bay of Bengal,Asia,736,0.009,721170,2307,0,0,0
36,Nautla,Gulf of Mexico,North America,2786,0.012,515428,2306,0,0,0
515,Mendawai,Java Sea,Oceania,19047,0.047,132673,2280,0,0,0
23,Sajua,Caribbean,North America,2289,0.022,281182,2249,0,0,0
363,Kaoping,South China Sea,Asia,3242,0.006,1088341,2240,0,0,0
27,Damuji,Atlantic,North America,2119,0.022,279129,2232,0,0,0
347,Wu,Taiwan Strait,Asia,2037,0.006,1068745,2200,0,0,0
1297,San Juan,Atlantic,South America,8472,0.017,344853,2193,0,0,0
359,Tsengwen,South China Sea,Asia,1376,0.006,1041270,2143,0,0,0
408,Gangavati,Arabian Sea,Asia,3867,0.009,666248,2131,0,0,0
317,Nakdong,Tsushima Strait,Asia,23300,0.001,6240526,2103,0,0,0
43,Antigua,Gulf of Mexico,North America,3330,0.012,464774,2080,0,0,0
808,Manavgat,Mediterranean,Eurasia,1302,0.039,145290,2074,0,0,0
707,Mbemkuru,Indian,Africa,17065,0.02,285298,2072,0,0,0
110,Tempisque,Pacific,North America,3257,0.047,121701,2066,0,0,0
79,Negro,Caribbean,North America,6495,0.079,71467,2056,0,0,0
1310,Leon,Caribbean,South America,2177,0.034,166957,2052,0,0,0
1345,Moju,Atlantic,South America,26196,0.017,324438,2047,0,0,0
750,Mananjary,Indian,Africa,6973,0.013,417269,2040,0,0,0
898,Arno,Ligurian Sea,Europe,9042,0.003,2093666,2028,0,0,0
1263,San Diego,Pacific,North America,1275,0.007,827257,2018,0,0,0
519,Serujan,Java Sea,Oceania,13061,0.047,116633,2004,0,0,0
551,Vaidala,Gulf of Papua,Oceania,5702,0.09,61078,1997,0,0,0
1462,Pyasina,Kara Sea,Asia,167473,0.02,266626,1991,0,0,0
87,Huixtla,Pacific,North America,679,0.042,126344,1952,0,0,0
1358,Curu,Atlantic,South America,8534,0.017,306438,1934,0,0,0
99,Prinza Polka,Caribbean,North America,10791,0.066,79513,1927,0,0,0
49,Armeria,Pacific,North America,9703,0.012,429407,1921,0,0,0
31,Tuxpan,Gulf of Mexico,North America,5876,0.012,428672,1918,0,0,0
405,Kalinadi,Arabian Sea,Asia,4759,0.009,592209,1895,0,0,0
857,Mat,Mediterranean,Europe,2503,0.032,161302,1893,0,0,0
345,Tachia,Taiwan Strait,Asia,1237,0.006,908878,1871,0,0,0
1410,Mucuri,Atlantic,South America,15563,0.017,295519,1865,0,0,0
1223,Housatonic,Atlantic,North America,5006,0.007,754635,1841,0,0,0
715,Catumbela,Atlantic,Africa,3977,0.045,111343,1837,0,0,0
1350,Munim,Atlantic,South America,15805,0.017,290090,1831,0,0,0
1469,Lena,Laptev Sea,Asia,2462757,0.02,239382,1788,0,0,0
1317,Suriname,Atlantic,South America,16744,0.027,180627,1770,0,0,0
487,Barumun,Karimata Strait,Oceania,1747,0.047,102818,1767,0,0,0
728,Ligonha,Indian,Africa,14799,0.013,364090,1751,0,0,0
1275,Pearl,Gulf of Mexico,North America,20894,0.007,711773,1736,0,0,0
1349,Cañar,Pacific,South America,2983,0.047,101525,1735,0,0,0
1413,Saõ Mateus,Atlantic,South America,12615,0.017,274015,1729,0,0,0
16,Culiacan,Gulf of California,North America,16425,0.012,386398,1729,0,0,0
864,Adige,Mediterranean,Europe,14475,0.003,1772632,1728,0,0,0
621,Nekor,Mediterranean,Africa,911,0.049,96166,1724,0,0,0
474,Sembakung,Celebes Sea,Oceania,10253,0.101,46512,1707,0,0,0
823,Harsit,Black Sea,Eurasia,3326,0.039,119455,1705,0,0,0
633,Wadi Araba,Red Sea,Africa,4212,0.122,38320,1704,0,0,0
295,Kitakami,Pacific,Asia,10131,0.003,1359741,1689,0,0,0
107,Punta Gorda,Caribbean,North America,2815,0.066,69540,1686,0,0,0
1361,Churo,Atlantic,South America,4736,0.017,265997,1679,0,0,0
724,Curoca,Atlantic,Africa,19826,0.045,97983,1617,0,0,0
298,Abukuma,Pacific,Asia,5362,0.003,1294833,1608,0,0,0
111,Chirripo del Atlanti,Caribbean,North America,1601,0.047,94539,1605,0,0,0
1312,"AmMazaroni, Essequibo, Cuyuniazon",Atlantic,South America,154187,0.029,150648,1599,0,0,0
118,Santa Maria,Panama Bay,North America,3947,0.029,150366,1591,0,0,0
206,Yarra,Bass Strait,Oceania,5467,0.002,1953376,1574,0,0,0
501,Lariang,Makassar Strait,Oceania,7126,0.047,91331,1569,0,0,0
1367,Curimataú,Atlantic,South America,4145,0.017,248041,1565,0,0,0
932,Nervion,Atlantic,Europe,1795,0.006,775329,1561,0,0,0
773,Buffels,Atlantic,Africa,9904,0.134,31863,1556,0,0,0
720,Mecuburi,Indian,Africa,9426,0.013,320226,1540,0,0,0
486,Berau,Celebes Sea,Oceania,14415,0.047,89284,1534,0,0,0
52,Coahuayana,Pacific,North America,7123,0.012,342580,1533,0,0,0
1127,Wadi al Fatima,Red Sea,Eurasia,5226,0.016,266506,1524,0,0,0
815,Kocabas,Sea of Marmara,Eurasia,2311,0.039,106467,1520,0,0,0
1342,Gurupi,Atlantic,South America,34676,0.017,240782,1520,0,0,0
925,Minho,Atlantic,Europe,16596,0.006,745468,1497,0,0,0
1392,Jiquiniça,Atlantic,South America,7015,0.017,237226,1497,0,0,0
351,Choshui,Taiwan Strait,Asia,3260,0.006,726798,1496,0,0,0
58,La Plata,Atlantic,North America,570,0.011,382984,1488,0,0,0
1359,Arenillas,Pacific,South America,1217,0.047,86679,1481,0,0,0
18,Soto la Marina,Gulf of Mexico,North America,20903,0.012,330242,1478,0,0,0
1412,Caplina,Pacific,South America,2744,0.039,104598,1474,0,0,0
824,Iyidere,Black Sea,Eurasia,1060,0.039,103039,1471,0,0,0
912,Jucar,Mediterranean,Europe,21380,0.006,727693,1465,0,0,0
1234,Patuxent,Chesapeake Bay,North America,1676,0.007,598926,1461,0,0,0
61,Tonala,Gulf of Mexico,North America,5616,0.012,324103,1450,0,0,0
757,Mananara Sud,Indian,Africa,16906,0.013,294994,1442,0,0,0
1128,Wadi Khulays,Red Sea,Eurasia,5207,0.016,251707,1440,0,0,0
938,Dordogne,Atlantic,Europe,23804,0.004,1023692,1428,0,0,0
5,Sonora,Gulf of California,North America,25270,0.012,318777,1426,0,0,0
1436,Itata,Pacific,South America,11429,0.011,365694,1416,0,0,0
800,Qishon,Mediterranean,Eurasia,1120,0.007,528731,1407,0,0,0
198,Murray-Darling,Great Australian Bight,Oceania,774540,0.002,1744151,1405,0,0,0
1280,Suwannee,Gulf of Mexico,North America,26533,0.007,575484,1404,0,0,0
941,Vilaine,Atlantic,Europe,10480,0.004,1004932,1401,0,0,0
329,Chikugo,East China Sea,Asia,2794,0.003,1123952,1396,0,0,0
753,Mananan Tanana,Indian,Africa,4413,0.013,284818,1392,0,0,0
1441,Bueno,Pacific,South America,15107,0.011,359380,1392,0,0,0
507,Karama,Celebes Sea,Oceania,5506,0.047,80756,1388,0,0,0
74,Omotepec,Pacific,North America,6979,0.012,309659,1386,0,0,0
960,Gauja,Baltic Sea,Europe,9184,0.02,193258,1385,0,0,0
797,Besor,Mediterranean,Eurasia,3523,0.006,625623,1383,0,0,0
1040,Ribble,Irish Sea,Europe,1908,0.004,884668,1381,0,0,0
11,El Fuerte,Gulf of California,North America,34784,0.012,307680,1377,0,0,0
863,Brenta,Mediterranean,Europe,4817,0.003,1418995,1374,0,0,0
1382,Huaura,Pacific,South America,4360,0.039,97078,1371,0,0,0
936,Adour,Atlantic,Europe,16859,0.004,964933,1347,0,0,0
1397,Grande,Pacific,South America,10995,0.039,95055,1343,0,0,0
1403,Majes,Pacific,South America,16938,0.039,94443,1334,0,0,0
21,Presido,Pacific,North America,6002,0.012,294600,1318,0,0,0
712,Messalo,Indian,Africa,24610,0.013,272223,1309,0,0,0
1072,Shannon,Atlantic,Europe,11413,0.009,416389,1300,0,0,0
713,Balombo,Atlantic,Africa,2789,0.045,78094,1288,0,0,0
636,Wadi Dib,Red Sea,Africa,42283,0.083,42283,1288,0,0,0
998,Glomma,North Sea,Europe,40119,0.006,633895,1288,0,0,0
911,Turia,Mediterranean,Europe,6644,0.006,632294,1273,0,0,0
923,Mondego,Atlantic,Europe,6652,0.005,656760,1266,0,0,0
1415,Itapemirim,Atlantic,South America,4829,0.017,199501,1259,0,0,0
94,"Kukalaya, Huahua",Caribbean,North America,7691,0.066,50965,1235,0,0,0
510,Larona,Banda Sea,Oceania,4144,0.047,71163,1223,0,0,0
344,Taan,Taiwan Strait,Asia,778,0.006,593198,1221,0,0,0
293,Mogami,Sea of Japan,Asia,6885,0.003,976233,1213,0,0,0
966,Kokemänjoki,Gulf of Bothnia,Europe,22257,0.005,708190,1206,0,0,0
1032,Bristol Avon,Irish Sea,Europe,2244,0.004,768603,1200,0,0,0
714,Montepuez,Indian,Africa,10264,0.013,248668,1196,0,0,0
312,Keum,Yellow Sea,Asia,9779,0.001,3518592,1186,0,0,0
3,Concepción,Gulf of California,North America,25962,0.012,262740,1170,0,0,0
1444,Chubut,Atlantic,South America,95415,0.026,122356,1169,0,0,0
761,Mandrare,Indian,Africa,12656,0.013,238251,1165,0,0,0
1330,Micay,Pacific,South America,4208,0.034,94559,1162,0,0,0
828,Khobi,Black Sea,Eurasia,1239,0.035,89543,1153,0,0,0
411,Sharavati,Arabian Sea,Asia,2618,0.009,354925,1135,0,0,0
704,Matandu,Indian,Africa,16699,0.02,155025,1126,0,0,0
963,Luga,Baltic Sea,Asia,13253,0.02,150430,1123,0,0,0
692,Nyanga,Atlantic,Africa,24964,0.035,87463,1119,0,0,0
1065,Nene,North Sea,Europe,2272,0.004,715563,1117,0,0,0
1100,Gabrik,Gulf of Oman,Eurasia,4638,0.074,40952,1113,0,0,0
1346,Turiaço,Atlantic,South America,13285,0.017,176190,1112,0,0,0
1099,Sadij,Gulf of Oman,Eurasia,4609,0.074,40645,1105,0,0,0
1272,Pascagoula,Gulf of Mexico,North America,21758,0.007,452511,1104,0,0,0
1290,Don Diego,Caribbean,South America,560,0.034,89586,1101,0,0,0
1061,Tyne,North Sea,Europe,2878,0.004,702706,1097,0,0,0
722,Cubal,Atlantic,Africa,10683,0.045,65836,1086,0,0,0
1255,San Diego Creek,Pacific,North America,323,0.007,444982,1085,0,0,0
4,Bacavachio,Pacific,North America,8226,0.012,242088,1083,0,0,0
1129,Wadi R?bigh,Red Sea,Eurasia,5156,0.016,187780,1074,0,0,0
649,Dhuudo,Indian,Africa,11494,0.047,62841,1069,0,0,0
762,Menarandra,Indian,Africa,8506,0.013,215059,1051,0,0,0
1249,Santa Clara,Pacific,North America,4222,0.007,430482,1050,0,0,0
1212,"Kennebeck, Androscoggin",Atlantic,Nort America,24645,0.007,425418,1037,0,0,0
749,Ugab,Atlantic,Africa,29357,0.097,29337,1037,0,0,0
1405,Tambo,Pacific,South America,12892,0.039,73299,1035,0,0,0
325,Tenryu,Pacific,Asia,5155,0.003,833020,1035,0,0,0
1381,Pativilca,Pacific,South America,4427,0.039,72538,1025,0,0,0
318,Fuji,Pacific,Asia,3536,0.003,823958,1023,0,0,0
1235,Russian,Pacific,North America,3854,0.007,418563,1021,0,0,0
725,Mahavavy Nord,Indian,Africa,18870,0.013,208560,1019,0,0,0
557,Merauke,Arafura Sea,Oceania,8067,0.049,56210,1010,0,0,0
1286,Peace,Gulf of Mexico,North America,5770,0.007,409962,1000,0,0,0
1443,Puelo,Pacific,South America,9163,0.026,106473,996,0,0,0
75,Tehuantepec,Pacific,North America,10190,0.012,221738,992,0,0,0
53,Candelaria,Gulf of Mexico,North America,14607,0.018,154430,987,0,0,0
1338,Jama,Pacific,South America,1362,0.047,57221,978,0,0,0
1393,San Juan,Pacific,South America,3312,0.039,68951,974,0,0,0
1029,Avon,English Channel,Europe,2961,0.004,621320,970,0,0,0
194,Hawkesbury,Tasman Sea,Oceania,20768,0.002,1192478,961,0,0,0
13,Sinaloa,Pacific,North America,12890,0.012,214581,960,0,0,0
42,Champoton,Gulf of Mexico,North America,12770,0.012,211069,944,0,0,0
952,Parsenta,Baltic Sea,Europe,3269,0.013,196775,944,0,0,0
1012,Tuloma/Kola,Barents Sea,Asia,25198,0.02,125675,938,0,0,0
1125,Wadi al Lith,Red Sea,Eurasia,3175,0.016,161941,926,0,0,0
1251,Calleguas,Pacific,North America,822,0.007,378102,922,0,0,0
187,Brisbane,Tasman Sea,Oceania,13630,0.002,1125324,907,0,0,0
730,M'Lela,Indian,Africa,8219,0.013,187916,903,0,0,0
738,Manambolo,Indian,Africa,13295,0.013,184191,900,0,0,0
928,Narcea,Bay of Biscay,Europe,4910,0.006,444358,895,0,0,0
299,Agano,Sea of Japan,Asia,7806,0.003,720061,894,0,0,0
306,Anseoung,Sea of Japan,Asia,1450,0.001,2636991,889,0,0,0
943,Somme,Atlantic,Europe,6213,0.004,630545,879,0,0,0
1335,"Santiago, Cayapas",Pacific,South America,6199,0.047,51381,877,0,0,0
38,Guantanamo,Caribbean,North America,1450,0.022,109596,876,0,0,0
526,Patahparang,Indian,Oceania,660,0.047,50819,873,0,0,0
105,Kurinwas,Caribbean,North America,4609,0.066,35944,871,0,0,0
756,Fiherenana,Indian,Africa,7722,0.013,177859,869,0,0,0
711,Cambongo,Atlantic,Africa,2608,0.045,52161,861,0,0,0
1123,Wadi Hali,Red Sea,Eurasia,5153,0.016,149418,855,0,0,0
953,Slupa,Baltic Sea,Europe,1454,0.013,176495,847,0,0,0
1015,Niva,White Sea,Asia,11031,0.02,112645,841,0,0,0
1375,Viru,Pacific,South America,1890,0.039,59422,839,0,0,0
1402,Ocona,Pacific,South America,15376,0.039,59392,839,0,0,0
1407,Itanhem,Atlantic,South America,6460,0.017,130989,827,0,0,0
894,Volturno,Mediterranean,Europe,5788,0.003,847999,821,0,0,0
1062,Tees,North Sea,Europe,1824,0.004,524554,819,0,0,0
331,Huaihe,Yellow Sea,Asia,34,0.092,24268,814,0,0,0
475,Sesjab,Celebes Sea,Oceania,15810,0.048,46780,812,0,0,0
1422,Elqui,Pacific,South America,9453,0.011,209134,809,0,0,0
192,Swan,Indian,Oceania,99439,0.002,999819,806,0,0,0
1394,Pisco,Pacific,South America,4109,0.039,56910,804,0,0,0
1186,Fraser,Pacific,North America,231734,0.002,1178718,804,0,0,0
826,Supsa,Black Sea,Eurasia,1115,0.035,61967,798,0,0,0
449,Tamraparni,Bay of Bengal,Asia,792,0.009,248568,795,0,0,0
1068,Barrow,Irish Sea,Europe,5511,0.009,252171,788,0,0,0
961,Pärnu,Baltic Sea,Europe,6923,0.019,115006,783,0,0,0
917,Guadalhorce,Mediterranean,Europe,3309,0.006,388679,783,0,0,0
939,Charente,Atlantic,Europe,9797,0.004,557419,777,0,0,0
1439,Valdivia,Pacific,South America,10237,0.011,189192,773,0,0,0
1459,Pyr,Kara Sea,Asia,111564,0.02,102160,763,0,0,0
719,Bemarivo,Indian,Africa,4816,0.013,155934,762,0,0,0
965,Kymijoki,Gulf of Finland,Europe,22102,0.005,444099,756,0,0,0
1323,Baudo,Pacific,South America,4067,0.034,61074,751,0,0,0
1378,Casma,Pacific,South America,2806,0.039,53019,749,0,0,0
112,Barranca,Pacific,North America,453,0.047,43691,742,0,0,0
115,Changuinola,Caribbean,North America,3216,0.03,67094,741,0,0,0
202,Waikato,Tasman Sea,Oceania,14408,0.007,307274,739,0,0,0
114,Sixaola,Caribbean,North America,2856,0.042,47280,733,0,0,0
1391,Canete,Pacific,South America,6060,0.039,51756,731,0,0,0
819,Devrekani,Black Sea,Eurasia,2270,0.039,50693,724,0,0,0
1329,Naya,Pacific,South America,1860,0.034,58521,719,0,0,0
311,Kuzuryo,Sea of Japan,Asia,2897,0.003,575256,715,0,0,0
803,Karasu,Sea of Marmara,Eurasia,225,0.039,49562,707,0,0,0
1219,Rogue,Pacific,North America,13363,0.007,289572,706,0,0,0
1425,Camaquá,Atlantic,South America,16895,0.017,111240,702,0,0,0
860,Krka,Mediterranean,Europe,2469,0.032,59738,697,0,0,0
1438,Tolten,Pacific,South America,8607,0.011,179123,695,0,0,0
56,Manati,Atlantic,North America,611,0.011,174594,679,0,0,0
15,San Fernando,Gulf of Mexico,North America,18933,0.012,151613,678,0,0,0
907,Ter,Mediterranean,Europe,3169,0.006,328073,661,0,0,0
1304,Mulatos,Caribbean,South America,1426,0.034,53505,658,0,0,0
1273,Choctawhatchee,Gulf of Mexico,North America,11880,0.007,267320,652,0,0,0
57,Arecibo,Atlantic,North America,788,0.011,167493,651,0,0,0
759,Linta,Indian,Africa,6164,0.013,133051,650,0,0,0
1406,Jucururu,Atlantic,South America,5895,0.017,101697,642,0,0,0
541,Digul,Arafura Sea,Oceania,9526,0.047,37137,638,0,0,0
832,Mzymta,Black Sea,Asia,908,0.021,84741,635,0,0,0
480,Kajan,Celebes Sea,Oceania,29784,0.047,36664,632,0,0,0
1196,Snohomish,Puget Sound,North America,4545,0.007,257965,629,0,0,0
9,Mayo,Gulf of California,North America,14123,0.012,140292,628,0,0,0
1416,Loa,Pacific,South America,35346,0.011,162129,628,0,0,0
1018,Onega,White Sea,Asia,62591,0.02,83423,623,0,0,0
895,Liri,Mediterranean,Europe,4065,0.003,641678,622,0,0,0
1240,Pajaro,Pacific,North America,3357,0.007,248142,605,0,0,0
1241,Salinas,Monterey Bay,North America,11097,0.007,247177,603,0,0,0
30,Toa,Atlantic,North America,1297,0.022,75244,602,0,0,0
784,Verlore,Atlantic,Africa,1923,0.134,12278,600,0,0,0
1424,Limari,Pacific,South America,11687,0.011,154734,599,0,0,0
356,Pachang,South China Sea,Asia,566,0.006,290497,598,0,0,0
69,Minho,Caribbean,North America,711,0.01,167928,597,0,0,0
1076,Boyne,Irish Sea,Europe,2754,0.009,190785,596,0,0,0
846,Pinios,Mediterranean,Europe,9302,0.004,408324,593,0,0,0
1256,San Juan Capistrano,Pacific,North America,453,0.007,242119,591,0,0,0
951,Rega,Baltic Sea,Europe,2555,0.013,122575,588,0,0,0
1124,Wadi Yiba,Red Sea,Eurasia,3128,0.016,100308,574,0,0,0
746,Gorongosa,Indian,Africa,10193,0.013,117970,567,0,0,0
1285,Nueces,Gulf of Mexico,North America,43508,0.007,231433,564,0,0,0
1316,Saramacca,Atlantic,South America,9413,0.027,56875,557,0,0,0
283,Iwaki,Sea of Japan,Asia,2440,0.003,447208,555,0,0,0
120,San Pablo,Pacific,North America,2434,0.029,51812,548,0,0,0
352,Peikang,South China Sea,Asia,704,0.006,265139,546,0,0,0
1026,Simeto/Goranlunga,Sicilian Channel,Europe,4203,0.003,563142,545,0,0,0
76,Moho,Caribbean,North America,1189,0.091,16163,538,0,0,0
729,Molocue,Indian,Africa,6246,0.013,111677,537,0,0,0
1411,Zana,Pacific,South America,4773,0.039,37808,534,0,0,0
340,Touchien,Taiwan Strait,Asia,564,0.006,259371,534,0,0,0
1408,Moquegua,Pacific,South America,3540,0.039,37536,530,0,0,0
1243,Chowan,Atlantic,North America,12000,0.007,217191,530,0,0,0
315,Hii,Sea of Japan,Asia,2044,0.003,422318,525,0,0,0
360,Yenshui,South China Sea,Asia,285,0.006,254533,524,0,0,0
1069,Suir,Irish Sea,Europe,3513,0.009,167711,524,0,0,0
1034,Wye,North Sea,Europe,4127,0.004,333156,520,0,0,0
1409,Locunba,Pacific,South America,4189,0.039,36771,519,0,0,0
322,Yeongsan,Yellow Sea,Asia,2861,0.001,1527952,515,0,0,0
1264,Edisto,Atlantic,North America,7471,0.007,210878,514,0,0,0
1267,Ogeechee,Atlantic,North America,11482,0.007,209151,510,0,0,0
1354,Balao,Pacific,South America,1138,0.047,29396,502,0,0,0
341,Lanyang,Pacific,Asia,1168,0.006,242776,500,0,0,0
1236,Rappahannock,Chesapeake Bay,North America,5037,0.007,204834,500,0,0,0
1071,Lee,Irish Sea,Europe,1253,0.009,158936,496,0,0,0
1303,Bayano,Panama Bay,North America,4889,0.029,46877,496,0,0,0
520,Solo,Banda Sea,Oceania,5892,0.047,28852,496,0,0,0
327,Yoshino,Pacific,Asia,3371,0.003,398315,495,0,0,0
499,Boko,Celebes Sea,Oceania,578,0.047,28658,492,0,0,0
685,Lobe,Gulf of Guinea,Africa,2296,0.038,34446,480,0,0,0
1259,Santa Margarita,Pacific,North America,1892,0.007,196866,480,0,0,0
1262,San Dieguito,Pacific,North America,884,0.007,195924,478,0,0,0
538,Jaba,Pacific,Oceania,513,0.09,14374,470,0,0,0
65,Black,Caribbean,North America,916,0.01,132212,470,0,0,0
